NDVI,Freq,Select_num
-19,1,0
-19,8,0
-18,11,0
-18,14,0
-17,23,0
-16,34,0
-16,70,0
-15,214,0
-15,393,1
-14,647,1
-13,897,2
-13,1137,2
-12,1326,2
-11,1422,3
-11,1646,3
-10,1778,3
-9,2055,4
-9,2212,4
-8,2434,4
-7,2580,5
-7,2601,5
-6,2705,5
-6,2737,5
-5,2841,5
-4,2752,5
-4,2805,5
-3,2607,5
-2,2633,5
-2,2599,5
-1,2552,5
0,2326,4
0,2415,4
0,2429,4
0,2225,4
1,2253,4
2,1967,4
2,1854,3
3,1814,3
4,1737,3
4,1862,3
5,1736,3
6,1880,3
6,1891,3
7,1932,3
8,1910,3
8,1902,3
9,1999,4
9,1921,3
10,2056,4
11,2011,4
11,2126,4
12,2159,4
13,2170,4
13,2280,4
14,2435,4
15,2575,5
15,2636,5
16,2845,5
16,3019,5
17,3320,6
18,3623,7
18,3751,7
19,4227,8
20,4775,9
20,5138,9
21,5836,11
22,6424,12
22,7136,13
23,7772,14
24,8676,16
24,9235,17
25,10171,18
25,11016,20
26,12016,22
27,13023,23
27,13846,25
28,14694,26
29,15984,29
29,17083,31
30,18389,33
31,19592,35
31,20849,38
32,22333,40
32,23783,43
33,25383,46
34,27501,50
34,29113,52
35,30871,56
36,32669,59
36,34607,62
37,36118,65
38,38241,69
38,39945,72
39,41823,75
40,43487,78
40,44774,81
41,46166,83
41,47828,86
42,48941,88
43,50749,91
43,50981,92
44,51962,94
45,52666,95
45,53442,96
46,53798,97
47,53710,97
47,53350,96
48,53229,96
48,52892,95
49,52874,95
50,51532,93
50,50868,92
51,50221,90
52,49393,89
52,47856,86
53,47123,85
54,45777,82
54,44707,81
55,43831,79
55,42949,77
56,41537,75
57,40072,72
57,39281,71
58,38248,69
59,37193,67
59,36021,65
60,35084,63
61,34451,62
61,33807,61
62,33746,61
63,33762,61
63,34036,61
64,34870,63
64,34879,63
65,35783,64
66,36595,66
66,37745,68
67,38500,69
68,39936,72
68,41419,75
69,42738,77
70,45234,81
70,47023,85
71,49215,89
72,51519,93
72,54025,97
73,56578,102
73,59139,107
74,62759,113
75,64629,116
75,66536,120
76,67335,121
77,65946,119
77,63646,115
78,58467,105
79,52978,95
79,45722,82
80,37295,67
80,29334,53
81,21901,39
82,16273,29
82,12187,22
83,9386,17
84,8340,15
84,7562,14
85,6872,12
86,6537,12
86,6042,11
87,5507,10
87,4888,9
88,4087,7
89,2897,5
89,1934,3
90,1111,2
91,429,1
91,50,0
92,3,0
