NDVI,Freq,Select_num
-19,1,0
-18,2,0
-18,1,0
-17,3,0
-16,4,0
-16,0,0
-15,2,0
-14,5,0
-14,13,0
-13,13,0
-13,9,0
-12,8,0
-11,32,0
-11,28,0
-10,46,0
-9,98,0
-9,209,0
-8,466,1
-7,661,1
-7,995,2
-6,1384,2
-6,1844,3
-5,2192,3
-4,2368,4
-4,2209,3
-3,2212,3
-2,2399,4
-2,2684,4
-1,2921,5
0,3501,5
0,3271,5
0,3074,5
0,2945,5
1,2961,5
2,2683,4
2,2474,4
3,2266,3
4,2179,3
4,1964,3
5,2045,3
6,2058,3
6,2087,3
7,2210,3
8,2332,4
8,2336,4
9,2511,4
9,2733,4
10,2726,4
11,2993,5
11,3240,5
12,3482,5
13,3823,6
13,4182,6
14,4797,7
15,5158,8
15,5781,9
16,6646,10
16,7662,12
17,8767,14
18,10739,17
18,13549,21
19,19560,30
20,30253,47
20,49019,76
21,78240,121
22,113599,175
22,148962,230
23,181281,280
23,199911,309
24,200571,310
25,184254,285
25,159195,246
26,134160,207
27,112893,174
27,95454,147
28,84498,131
29,75637,117
29,68460,106
30,62250,96
31,57282,88
31,52482,81
32,50950,79
32,49651,77
33,49812,77
34,49700,77
34,51313,79
35,52205,81
36,53328,82
36,55224,85
37,56016,87
38,56415,87
38,57765,89
39,60862,94
39,65185,101
40,69771,108
41,73022,113
41,73230,113
42,71641,111
43,69567,107
43,68003,105
44,65928,102
45,64662,100
45,63307,98
46,61335,95
47,60411,93
47,57956,90
48,55995,86
48,54282,84
49,51374,79
50,48696,75
50,46346,72
51,42741,66
52,39913,62
52,37385,58
53,34393,53
54,31663,49
54,29212,45
55,26204,40
56,24493,38
56,22377,35
57,20289,31
57,18688,29
58,17047,26
59,15744,24
59,14494,22
60,13324,21
61,12156,19
61,10925,17
62,10527,16
63,9705,15
63,8942,14
64,8274,13
64,7503,12
65,6790,10
66,6312,10
66,5531,9
67,4955,8
68,4454,7
68,3861,6
69,3384,5
70,2973,5
70,2546,4
71,2065,3
71,1853,3
72,1556,2
73,1189,2
73,1032,2
74,867,1
75,747,1
75,577,1
76,469,1
77,357,1
77,263,0
78,214,0
79,161,0
79,96,0
80,67,0
80,41,0
81,19,0
82,20,0
82,2,0
83,4,0
84,2,0
84,0,0
85,0,0
86,0,0
86,0,0
87,0,0
88,0,0
88,0,0
89,0,0
89,0,0
90,0,0
91,0,0
91,0,0
92,0,0
93,0,0
93,1,0
