NDVI,Freq,Select_num
-19,2,0
-19,3,0
-18,2,0
-18,2,0
-17,4,0
-16,3,0
-16,7,0
-15,6,0
-14,4,0
-14,11,0
-13,6,0
-13,15,0
-12,20,0
-11,37,0
-11,47,0
-10,77,0
-9,110,0
-9,156,0
-8,211,0
-7,270,0
-7,316,0
-6,366,0
-6,434,1
-5,443,1
-4,492,1
-4,538,1
-3,613,1
-2,741,1
-2,825,1
-1,925,1
0,1066,1
0,1194,1
0,1387,2
0,1524,2
1,1419,2
2,1302,2
2,1308,2
3,1192,1
4,1207,1
4,1147,1
5,1155,1
6,1085,1
6,1026,1
7,1051,1
7,1010,1
8,1117,1
9,1080,1
9,1112,1
10,1108,1
11,1144,1
11,1188,1
12,1251,1
13,1349,2
13,1386,2
14,1510,2
15,1778,2
15,1811,2
16,1931,2
16,2088,2
17,2268,3
18,2536,3
18,2661,3
19,2876,3
20,3254,4
20,3387,4
21,3772,5
22,3984,5
22,4330,5
23,4792,6
24,5035,6
24,5398,6
25,5717,7
25,6026,7
26,6493,8
27,6879,8
27,7281,9
28,7856,9
29,8057,10
29,8528,10
30,8934,11
31,9692,12
31,10086,12
32,10710,13
32,11574,14
33,12179,15
34,13305,16
34,14401,17
35,15778,19
36,16738,20
36,18192,22
37,19620,23
38,20683,25
38,21980,26
39,23472,28
40,24498,29
40,26308,31
41,27497,33
41,29331,35
42,30399,36
43,31633,38
43,33552,40
44,34978,42
45,36762,44
45,37938,45
46,39816,48
47,40975,49
47,42781,51
48,44618,53
48,45517,54
49,47557,57
50,48890,58
50,49873,60
51,51368,61
52,52876,63
52,54253,65
53,54761,65
54,56638,68
54,57986,69
55,59128,71
56,60024,72
56,61229,73
57,62818,75
57,63705,76
58,64715,77
59,66410,79
59,67687,81
60,69352,83
61,70744,85
61,72239,86
62,73572,88
63,75587,90
63,77568,93
64,79398,95
64,82344,98
65,84222,101
66,86865,104
66,88519,106
67,91444,109
68,93777,112
68,95086,114
69,97248,116
70,98266,118
70,98267,118
71,97436,117
71,96040,115
72,93808,112
73,90337,108
73,86527,103
74,83427,100
75,79889,96
75,75318,90
76,70983,85
77,66582,80
77,62346,75
78,57691,69
79,53712,64
79,48938,59
80,43293,52
80,38061,46
81,32817,39
82,26289,31
82,21351,26
83,16685,20
84,13053,16
84,9720,12
85,7285,9
86,5051,6
86,3364,4
87,2113,3
87,1134,1
88,661,1
89,238,0
89,33,0
90,4,0
91,0,0
91,0,0
92,0,0
93,0,0
