NDVI,Freq,Select_num
-19,2,0
-19,1,0
-18,5,0
-17,13,0
-16,9,0
-16,24,0
-15,27,0
-14,47,0
-14,45,0
-13,69,0
-13,67,0
-12,88,0
-11,120,0
-11,163,0
-10,219,0
-9,329,0
-9,384,0
-8,615,0
-7,1149,1
-7,2066,1
-6,2824,2
-6,2786,2
-5,2340,2
-4,1648,1
-4,1182,1
-3,976,1
-2,1165,1
-2,1869,1
-1,1367,1
0,1244,1
0,1173,1
0,1022,1
0,1020,1
1,1111,1
2,1464,1
2,2558,2
3,6607,4
4,18877,13
4,44216,29
5,72551,48
6,98786,66
6,117979,78
7,152474,101
8,185145,123
8,200674,133
9,192004,127
9,142058,94
10,103645,69
11,85181,57
11,91640,61
12,114226,76
13,131472,87
13,131882,88
14,126857,84
15,122300,81
15,124498,83
16,124458,83
16,123882,82
17,127269,84
18,136723,91
18,151201,100
19,170364,113
20,183542,122
20,190112,126
21,191925,127
22,191730,127
22,190642,126
23,189941,126
23,187008,124
24,183637,122
25,174623,116
25,166157,110
26,153673,102
27,141819,94
27,128957,86
28,117111,78
29,107955,72
29,102429,68
30,98902,66
31,96560,64
31,93957,62
32,92375,61
32,89104,59
33,88080,58
34,86442,57
34,86103,57
35,87059,58
36,88588,59
36,89978,60
37,92964,62
38,95003,63
38,95142,63
39,91373,61
39,85114,56
40,78502,52
41,72087,48
41,67089,45
42,62565,42
43,59187,39
43,56932,38
44,53731,36
45,52078,35
45,49414,33
46,47589,32
47,44758,30
47,42082,28
48,39285,26
48,36395,24
49,33230,22
50,30776,20
50,27975,19
51,25160,17
52,22862,15
52,20276,13
53,17932,12
54,16300,11
54,14747,10
55,12966,9
55,11896,8
56,10668,7
57,9655,6
57,8627,6
58,7786,5
59,7171,5
59,6270,4
60,6169,4
61,5384,4
61,4994,3
62,4429,3
63,4113,3
63,3813,3
64,3567,2
64,3074,2
65,2716,2
66,2533,2
66,2215,1
67,2062,1
68,1834,1
68,1639,1
69,1440,1
70,1319,1
70,1096,1
71,972,1
71,822,1
72,665,0
73,609,0
73,497,0
74,359,0
75,312,0
75,242,0
76,175,0
77,121,0
77,81,0
78,44,0
79,34,0
79,17,0
80,17,0
80,8,0
81,0,0
82,2,0
82,1,0
