NDVI,Freq,Select_num
-19,32,0
-18,60,0
-18,139,0
-17,201,0
-16,293,0
-16,435,0
-15,457,0
-15,590,0
-14,780,0
-13,1062,0
-13,1440,1
-12,1809,1
-11,2336,1
-11,2677,1
-10,3174,1
-9,3677,2
-9,4065,2
-8,4660,2
-8,5339,2
-7,5683,3
-6,6948,3
-6,8608,4
-5,12541,6
-4,18903,8
-4,29890,13
-3,47713,21
-2,67993,31
-2,76515,34
-1,73039,33
0,65746,30
0,58978,26
0,53035,24
0,49806,22
1,53727,24
2,69132,31
2,100967,45
3,226255,102
4,506398,227
4,851653,382
5,1171022,526
6,1108099,497
6,839117,377
7,647639,291
7,543214,244
8,477324,214
9,431045,193
9,391325,176
10,367420,165
11,344190,154
11,331968,149
12,318775,143
13,291880,131
13,256157,115
14,228548,103
15,212192,95
15,201992,91
16,193792,87
16,185051,83
17,176275,79
18,167305,75
18,159708,72
19,153375,69
20,148877,67
20,144536,65
21,141775,64
22,139401,63
22,137988,62
23,136315,61
23,134804,61
24,131214,59
25,126641,57
25,121069,54
26,114942,52
27,107180,48
27,99874,45
28,93807,42
29,88019,40
29,82920,37
30,78477,35
31,74635,33
31,71570,32
32,67660,30
32,64961,29
33,63248,28
34,60276,27
34,58332,26
35,55389,25
36,53153,24
36,50160,23
37,47018,21
38,43979,20
38,41422,19
39,38724,17
39,35941,16
40,33837,15
41,32642,15
41,30958,14
42,29901,13
43,28793,13
43,27796,12
44,27011,12
45,25782,12
45,24789,11
46,24116,11
47,23164,10
47,22577,10
48,22057,10
48,21676,10
49,21481,10
50,21589,10
50,21275,10
51,21465,10
52,21562,10
52,21817,10
53,21924,10
54,22044,10
54,21788,10
55,22037,10
55,22344,10
56,22178,10
57,23177,10
57,22969,10
58,23103,10
59,23387,10
59,23833,11
60,23884,11
61,23997,11
61,24150,11
62,23806,11
63,23108,10
63,23165,10
64,22005,10
64,21331,10
65,20706,9
66,19362,9
66,18495,8
67,17442,8
68,16112,7
68,14577,7
69,13253,6
70,11981,5
70,10457,5
71,8872,4
71,7490,3
72,6372,3
73,5295,2
73,4209,2
74,3480,2
75,2759,1
75,2196,1
76,1636,1
77,1298,1
77,922,0
78,698,0
79,488,0
79,284,0
80,184,0
80,97,0
81,60,0
82,17,0
82,11,0
83,3,0
84,1,0
85,1,0
