NDVI,Freq,Select_num
-18,3,0
-18,18,0
-17,59,0
-16,134,0
-16,304,0
-15,489,0
-15,706,0
-14,1055,1
-13,1300,1
-13,1816,1
-12,2477,2
-11,2998,2
-11,3558,2
-10,4410,3
-9,5041,3
-9,5855,4
-8,6438,4
-8,7394,5
-7,8652,6
-6,10165,7
-6,12147,8
-5,15133,10
-4,19137,12
-4,25256,16
-3,33617,22
-2,41720,27
-2,45752,30
-1,47803,31
0,47927,31
0,47260,31
0,45812,30
0,43971,29
1,44739,29
2,44926,29
2,47953,31
3,52543,34
4,60712,39
4,74968,49
5,98032,64
6,130734,85
6,166268,108
7,202679,132
8,242829,158
8,277108,180
9,292838,190
9,295782,192
10,288893,187
11,270374,175
11,242863,158
12,211598,137
13,179568,117
13,152703,99
14,130643,85
15,112426,73
15,97802,63
16,86903,56
16,78529,51
17,72818,47
18,68228,44
18,64641,42
19,60874,39
20,58745,38
20,57039,37
21,54842,36
22,53281,35
22,51306,33
23,49601,32
23,47736,31
24,46172,30
25,44332,29
25,42705,28
26,41931,27
27,41839,27
27,41581,27
28,41708,27
29,42477,28
29,42372,27
30,43246,28
31,43045,28
31,43580,28
32,42801,28
32,42370,27
33,41738,27
34,41322,27
34,40759,26
35,39727,26
36,39398,26
36,39562,26
37,38885,25
38,38801,25
38,38608,25
39,38459,25
39,37225,24
40,37243,24
41,36350,24
41,35746,23
42,35389,23
43,34948,23
43,35281,23
44,35298,23
45,35635,23
45,36919,24
46,38043,25
47,39022,25
47,40714,26
48,42713,28
48,44512,29
49,46493,30
50,48635,32
50,51256,33
51,54272,35
52,57180,37
52,59433,39
53,62669,41
54,66053,43
54,69504,45
55,72539,47
56,76055,49
56,80074,52
57,83698,54
57,86402,56
58,89945,58
59,93539,61
59,95569,62
60,98252,64
61,100669,65
61,103484,67
62,105403,68
63,107389,70
63,108615,70
64,110749,72
64,110754,72
65,111840,73
66,110683,72
66,110261,72
67,109215,71
68,107548,70
68,105513,68
69,102651,67
70,99355,64
70,95768,62
71,91942,60
71,88067,57
72,83458,54
73,78530,51
73,73782,48
74,68956,45
75,64269,42
75,59673,39
76,55472,36
77,51280,33
77,48361,31
78,45189,29
79,42636,28
79,40587,26
80,38860,25
80,37054,24
81,35190,23
82,32999,21
82,31025,20
83,28227,18
84,25504,17
84,22590,15
85,19989,13
86,16760,11
86,13968,9
87,10607,7
88,7674,5
88,4844,3
89,2732,2
89,1296,1
90,400,0
91,51,0
91,2,0
